,pace_lap,num_laps,num_stints,overall_speed,pace_s1,pace_s2,pace_s3,soft_fastest_lap,medium_fastest_lap,GridPosition_std,GridPosition,Position_std,Position,points finish?,finish?,top six finish?,places made
GAS_2020_Abu Dhabi,0.037824495,1.821426377,-0.444123027,-0.329728506,0.536595901,0.083932417,-0.11548029,0.264512143,0.081453929,0.253546277,9,0.422577128,8,1,1,0,1
RAI_2020_Abu Dhabi,-0.980265753,-1.107624148,-0.444123027,1.579142323,-0.26225049,-1.349353833,-1.016325788,-0.315251894,-0.489408778,-0.76063883,15,-0.253546277,12,0,1,0,3
LAT_2020_Abu Dhabi,-2.187699693,0.775336904,0.814225549,0.452682526,-0.620878686,-1.895757653,-2.064028801,-0.895015932,-2.045684155,-1.267731383,18,-1.098700532,17,0,1,0,1
VET_2020_Abu Dhabi,-0.042867312,-0.898406254,-0.024673501,0.502038541,-1.226885096,-0.125941641,0.118209188,-0.032440169,-0.243590929,-0.422577128,13,-0.591607979,14,0,1,0,-1
NOR_2020_Abu Dhabi,0.631853543,-0.27075257,0.814225549,-1.558553675,0.874826588,1.2773626,0.143340195,0.578100439,0.485725793,1.098700532,4,0.929669681,5,1,1,1,-1
BOT_2020_Abu Dhabi,0.806236141,0.984554798,0.814225549,-0.953743864,0.952069583,0.608251928,1.035057648,0.502406712,1.209903466,1.436762234,2,1.436762234,2,1,1,1,0
RIC_2021_Abu Dhabi,-0.020013861,-0.05874735,-0.979781113,0.16521221,-0.442171547,-0.203776912,0.501436105,-0.073321447,0.898224437,0.084515426,10,-0.253546277,12,0,1,0,-2
BOT_2021_Abu Dhabi,1.000616251,1.615552112,1.396709246,-0.314193879,1.239663872,-0.11559131,1.396671917,0.762391354,0.325100974,0.76063883,6,0.76063883,6,1,1,1,0
SAI_2021_Abu Dhabi,-0.026395647,1.057452292,1.000627519,1.553061394,-1.518556916,-0.219760554,-0.122615801,-0.107302146,1.0287377,0.929669681,5,1.267731383,3,1,1,1,2
MSC_2021_Abu Dhabi,-1.117863597,-1.174946991,-0.979781113,0.212503188,-0.615195483,-0.704643581,-1.127311964,-0.634002971,-1.090684213,-1.436762234,19,-0.591607979,14,0,1,0,5
HAM_2021_Abu Dhabi,1.968824538,0.778402381,2.188872698,1.302116074,1.696960512,1.984328363,1.745885152,1.559875869,1.472293647,1.436762234,2,1.436762234,2,1,1,1,0
VER_2021_Abu Dhabi,1.174292031,-0.33779726,0.604545793,0.724278655,0.851362865,0.909566326,1.255232334,1.332629949,0.808378349,1.605793085,1,1.605793085,1,1,1,1,0
OCO_2021_Abu Dhabi,0.301628214,-0.33779726,-0.979781113,0.231077827,0.074531634,1.054245831,-0.273897156,0.752834282,0.802703859,0.253546277,9,0.253546277,9,1,1,0,0
TSU_2021_Abu Dhabi,0.323235122,-0.05874735,0.604545793,-1.082720577,0.631539568,-0.11559131,0.580927344,0.552135783,0.238092132,0.422577128,8,1.098700532,4,1,1,1,4
STR_2021_Abu Dhabi,-0.089757678,0.220302561,-0.18761766,-0.391465497,-0.475599666,0.388720107,-0.203020734,-0.082878519,-0.765346802,-0.422577128,13,-0.422577128,13,0,1,0,0
LEC_2021_Abu Dhabi,0.331987288,-0.61684717,0.604545793,-0.062137427,-0.879411317,-0.42492987,0.34464649,0.197462243,0.874580729,0.591607979,7,0.084515426,10,1,1,0,-3
ALO_2021_Abu Dhabi,0.374517341,-0.33779726,-0.979781113,-0.178007904,0.742855197,0.368051607,0.37945817,0.550011989,0.556809305,-0.084515426,11,0.422577128,8,1,1,0,3
PER_2021_Abu Dhabi,0.865914957,-0.05874735,0.604545793,-0.116985933,1.246616923,1.068024834,0.673667124,0.739029624,0.907681919,1.098700532,4,-0.76063883,15,0,0,0,-11
GAS_2021_Abu Dhabi,0.550928173,1.615552112,0.208464066,0.967453741,1.008608727,0.564402364,0.45757887,0.522402671,-0.004965179,-0.253546277,12,0.929669681,5,1,1,1,7
RAI_2021_Abu Dhabi,-0.513918605,-0.05874735,-0.583699386,-1.003436825,0.209543019,0.323958808,-1.201686524,-0.312248233,-2.09223165,-1.267731383,18,-1.436762234,19,0,0,0,-1
LAT_2021_Abu Dhabi,-1.825147956,-0.895897081,1.000627519,-0.157710923,-1.395923475,-2.124569581,-1.130190095,-0.614888828,-0.649965511,-0.929669681,16,-0.929669681,16,0,0,0,0
VET_2021_Abu Dhabi,-0.836973791,1.894602023,-0.583699386,-0.789885394,-1.079597983,0.029088195,-0.895338515,-0.395076185,-0.21397555,-0.76063883,15,-0.084515426,11,0,1,0,4
NOR_2021_Abu Dhabi,-0.006338602,-1.733046812,-0.979781113,0.295260061,0.270515905,-0.5279279,0.254739158,0.676377711,-0.136424191,1.267731383,3,0.591607979,7,1,1,0,-4
GIO_2021_Abu Dhabi,-0.312664388,-0.33779726,-1.375862839,-0.515168265,-0.077671362,-0.090789109,-0.467808791,-0.323929098,0.026244515,-0.591607979,14,-1.098700532,17,0,0,0,-3
