,pace_lap,num_laps,num_stints,overall_speed,pace_s1,pace_s2,pace_s3,soft_fastest_lap,medium_fastest_lap,GridPosition_std,GridPosition,Position_std,Position,points finish?,finish?,top six finish?,places made
VER_2020_Austria,0.947765952,0.570265627,-0.419805162,-0.557835147,0.802590479,0.887301428,0.720703127,1.090077524,1.326974915,1.436762234,2,-1.605793085,20,0,0,0,-18
OCO_2020_Austria,0.344595386,-1.862091842,-1.217434971,0.981936062,-0.185225101,0.47051102,0.205676819,0.08977109,-0.376456517,-0.591607979,14,0.422577128,8,1,1,0,6
KVY_2020_Austria,-0.556349584,-1.751530139,-0.419805162,0.261145049,0.314948484,-0.158135312,-0.889050756,-0.315801871,-1.607830688,-0.422577128,13,-0.253546277,12,0,0,0,1
ALB_2020_Austria,0.030894126,0.68082733,-0.419805162,-0.457947034,-0.639086313,0.104578066,0.427826415,0.589924307,0.531064418,1.098700532,4,-0.422577128,13,0,0,0,-9
MAG_2020_Austria,-0.471590321,-0.314227998,-0.419805162,-1.160612601,-1.080234324,-0.120518848,-0.666545151,-0.889695626,-0.297780307,-0.929669681,16,-1.098700532,17,0,0,0,-1
STR_2020_Austria,0.683737563,0.901950736,-0.685681765,-0.569327685,0.96659075,0.463529402,0.440642738,0.280534657,1.089116605,0.253546277,9,-1.267731383,18,0,0,0,-9
LEC_2020_Austria,0.927923085,0.459703924,1.175454455,-0.34786249,-0.492248862,1.149112011,0.99690675,0.625191521,0.256612522,0.591607979,7,1.436762234,2,1,1,1,5
PER_2020_Austria,0.355108161,0.901950736,-0.685681765,0.716348485,1.002550944,0.218932114,0.335976102,0.782290929,0.763433689,0.76063883,6,0.76063883,6,1,1,1,0
GAS_2020_Austria,-0.885249313,0.017457111,-0.951558368,-0.218621487,0.396022368,-0.844130625,-0.757073144,0.230839946,-0.621633543,-0.253546277,12,0.591607979,7,1,1,0,5
RAI_2020_Austria,-0.73264885,-0.203666295,-0.419805162,0.431819901,-0.523032964,-0.606824483,-0.900799051,-1.090077524,-0.391093951,-1.436762234,19,-0.591607979,14,0,0,0,5
LAT_2020_Austria,-2.508572229,-1.198721623,-1.217434971,-0.427990593,-2.240949416,-2.833117232,-2.019379227,-2.906339046,-1.646253953,-1.605793085,20,-0.084515426,11,0,1,0,9
VET_2020_Austria,0.866029112,0.901950736,1.441331057,-0.836136734,-0.29049039,0.720645451,1.185413498,0.387939354,-0.023328411,-0.084515426,11,0.084515426,10,1,1,0,1
NOR_2020_Austria,0.187429373,1.012512439,1.175454455,-0.67567712,0.059821814,0.326063802,-0.18355965,0.229236891,0.357244884,1.267731383,3,1.267731383,3,1,1,1,0
BOT_2020_Austria,1.144512569,0.238580517,1.70720766,1.03653135,0.909381353,1.135570085,1.028769552,1.308093029,1.127539871,1.605793085,1,1.605793085,1,1,1,1,0
GIO_2020_Austria,-0.508647859,-0.314227998,-0.951558368,-0.431812154,-0.069280724,-0.550490068,-0.92020154,-0.825573419,-0.270335117,-1.267731383,18,0.253546277,9,1,1,0,9
RIC_2021_Austria,-1.026820422,0.555936295,-0.605880509,0.210344491,-0.681007646,-0.693013441,-0.694201219,-0.223005012,0.303753928,-0.422577128,13,-0.422577128,13,0,1,0,0
BOT_2021_Austria,1.187452078,0.147493303,1.29078891,0.298628778,1.611679396,1.091335286,0.998037703,1.020753877,-2.845960955,0.929669681,5,1.267731383,3,1,1,1,2
RUS_2021_Austria,-0.126561682,0.555936295,-0.131713154,0.78809885,-0.135574348,-0.7696373,0.522808353,-0.379153781,0.477516132,0.084515426,10,-1.436762234,19,0,0,0,-9
SAI_2021_Austria,0.164620029,0.760157791,0.816621556,0.685138173,-0.391953133,0.232207901,0.145910405,-0.155114243,0.585292689,-0.253546277,12,0.76063883,6,1,1,1,6
MSC_2021_Austria,-0.415874121,-1.486278667,-0.605880509,-1.173133431,0.109074695,-0.588899013,-0.708986132,-0.554311965,-1.173224803,-1.436762234,19,-0.929669681,16,0,1,0,3
HAM_2021_Austria,1.304196656,-0.873614178,2.23912362,-0.342792843,1.116157367,0.9355021,1.734467185,1.649422398,-0.207634836,1.436762234,2,1.436762234,2,1,1,1,0
VER_2021_Austria,2.381471274,-0.669392682,1.29078891,1.121424892,2.518700132,2.250423925,2.404716582,1.376501507,0.315851297,1.605793085,1,1.605793085,1,1,1,1,0
OCO_2021_Austria,-0.589461583,0.351714799,-0.131713154,-0.929391348,-0.907583292,-0.674304058,-0.471301049,-0.125242304,0.297155364,-1.098700532,17,-0.591607979,14,0,1,0,3
TSU_2021_Austria,0.570337177,1.577043776,-1.080047864,-0.599763676,0.771446398,0.186515635,0.834699615,0.588968586,1.083484324,-0.084515426,11,0.084515426,10,1,1,0,1
STR_2021_Austria,-0.527393233,-1.486278667,-1.080047864,0.138904798,-0.718710408,-0.220483979,-0.958851164,0.188413049,0.411530485,0.253546277,9,0.422577128,8,1,1,0,1
LEC_2021_Austria,0.50720674,1.168600784,0.816621556,-0.360693745,-0.319898962,0.996378112,0.184515454,0.330983664,0.900924034,0.591607979,7,0.591607979,7,1,1,0,0
ALO_2021_Austria,-0.256306203,1.577043776,-1.554215219,0.21797409,0.000155597,-0.125714839,-0.560010528,0.249514741,0.532504171,0.422577128,8,0.253546277,9,1,1,0,-1
PER_2021_Austria,0.535925566,-0.056728193,-0.131713154,-0.433256674,-0.063041412,0.834104762,0.34046109,0.757337693,1.104379778,1.098700532,4,1.098700532,4,1,1,1,0
MAZ_2021_Austria,-1.345497435,-1.486278667,-0.605880509,-0.983331357,-1.452657518,-1.625239052,-1.10546822,-1.504782731,-2.133315967,-1.605793085,20,-1.267731383,18,0,0,0,2
LAT_2021_Austria,-1.71774823,-1.077835674,-0.131713154,1.293104913,-0.673467093,-1.805892726,-1.179392786,-0.726754518,-0.060266891,-0.929669681,16,-1.098700532,17,0,0,0,-1
VET_2021_Austria,-0.08863244,-0.056728193,0.816621556,0.617765665,-0.266277258,-0.118212282,-0.229954945,0.124595726,0.48851374,-0.591607979,14,-0.253546277,12,0,1,0,2
NOR_2021_Austria,-0.759174554,0.555936295,-0.605880509,0.31878002,-1.081662335,-0.293535192,-0.924845864,0.483058986,0.158585505,1.267731383,3,0.929669681,5,1,1,1,-2
GIO_2021_Austria,0.202260384,-0.056728193,-0.605880509,-0.867801596,0.564619821,0.38846416,-0.332604483,0.037695541,-0.069064977,-0.76063883,15,-0.76063883,15,0,1,0,0
RIC_2019_Bahrain,-0.653547998,-0.912748173,-0.527276849,-0.079522467,-0.760581968,-0.806121824,-0.090899373,-0.481084479,,0.084515426,10,-1.267731383,18,0,0,0,-8
BOT_2019_Bahrain,0.633735618,1.071486986,-0.136701405,-1.386794525,0.449336501,0.961462193,0.676491271,0.816888483,0.943250901,1.098700532,4,1.436762234,2,1,1,1,2
RUS_2019_Bahrain,-1.680583193,0.674639954,0.644449482,0.538313538,-0.904934716,-1.337094003,-1.910681316,-1.542788156,-1.924457642,-1.436762234,19,-0.76063883,15,0,1,0,4
SAI_2019_Bahrain,-0.068209282,1.071486986,1.035024925,-0.028370623,-0.011490369,0.321465281,-0.04382149,0.178458715,0.484586887,0.591607979,7,-1.436762234,19,0,0,0,-12
HAM_2019_Bahrain,0.963156149,0.013228234,-0.527276849,-0.060033546,0.865865811,0.784568636,1.07179773,0.925471814,0.837405359,1.267731383,3,1.605793085,1,1,1,1,2
VER_2019_Bahrain,0.902855441,-0.11905411,-0.527276849,-0.485468984,0.14961171,0.963847274,0.091712154,0.64798108,0.822586983,0.929669681,5,1.098700532,4,1,1,1,1
HUL_2019_Bahrain,0.508295258,-0.648183486,0.644449482,0.040567595,0.686251321,0.347303666,0.975214176,0.704283547,0.423196473,-1.098700532,17,-1.098700532,17,0,0,0,0
KVY_2019_Bahrain,0.386056047,1.071486986,0.253874038,0.756517496,0.770659111,0.160631274,0.196212393,0.277993434,0.344870772,-0.76063883,15,-0.253546277,12,0,1,0,3
ALB_2019_Bahrain,-0.831422678,1.20376933,0.253874038,0.26985007,-0.578763619,0.283303974,-0.698689655,-0.088978007,0.203037746,-0.253546277,12,0.253546277,9,1,1,0,3
MAG_2019_Bahrain,0.515293118,0.145510578,-0.917852292,-0.619029076,0.411650516,0.452565269,0.029170344,0.371495747,0.473296696,0.76063883,6,-0.422577128,13,0,1,0,-7
STR_2019_Bahrain,-0.543468189,-0.515901142,-1.308427736,-0.410627317,-0.910664751,-0.618813411,-1.268057624,-0.763602219,-0.494837192,-1.267731383,18,-0.591607979,14,0,1,0,4
LEC_2019_Bahrain,1.192745508,-0.251336454,1.425600369,1.14596123,1.367023297,0.981735387,0.938797426,1.496539701,0.887505582,1.605793085,1,1.267731383,3,1,1,1,-2
PER_2019_Bahrain,-0.18032393,-0.78046583,-1.699003179,0.208598447,0.14255936,-0.501149383,0.187767931,-0.348371519,-0.327601236,-0.591607979,14,0.084515426,10,1,1,0,4
GAS_2019_Bahrain,0.535542244,-0.648183486,-0.917852292,-0.420081569,0.231154482,0.407089712,0.139845597,-0.059821372,0.579142237,-0.422577128,13,0.422577128,8,1,1,0,5
GRO_2019_Bahrain,-0.112206464,0.54235761,-0.527276849,-0.728713442,-0.106862358,-0.332921623,0.630838388,0.303128465,-2.295622674,-0.084515426,11,-1.605793085,20,0,0,0,-9
RAI_2019_Bahrain,-0.140867912,-2.103289269,-0.136701405,-0.357634868,0.123716367,-0.01999891,-0.679372944,-0.968704066,0.263016886,0.422577128,8,0.591607979,7,1,1,0,1
VET_2019_Bahrain,1.149120552,0.410075266,2.597326699,1.652721105,1.396114233,0.981417376,1.594615593,1.531728743,0.600311346,1.436762234,2,0.929669681,5,1,1,1,-3
NOR_2019_Bahrain,0.438763331,0.277792922,0.644449482,0.656448023,0.116774212,0.534930089,-0.020388103,0.354403926,0.360394785,0.253546277,9,0.76063883,6,1,1,1,3
KUB_2019_Bahrain,-2.940570194,1.468334018,0.253874038,-0.396526493,-3.200253636,-3.210840655,-2.433710291,-2.5763406,-1.970324043,-1.605793085,20,-0.929669681,16,0,1,0,4
GIO_2019_Bahrain,-0.074363427,-1.971006925,-0.527276849,-0.296174594,-0.237165506,-0.353380323,0.613157793,-0.778683237,-0.209759866,-0.929669681,16,-0.084515426,11,0,1,0,5
VER_2022_Bahrain,1.419416923,-0.631045517,-0.104340633,1.663206866,0.726026166,1.284824018,0.571278749,1.801130773,1.237613811,1.436762234,2,-1.436762234,19,0,0,0,-17
SAI_2022_Bahrain,1.36458408,0.858635704,1.30425791,-0.419898025,1.19136301,1.225924818,0.163637436,1.036252667,1.028807263,1.267731383,3,1.436762234,2,1,1,1,1
MSC_2022_Bahrain,0.084962018,0.672425551,-0.573873481,0.669929911,-0.345628279,-0.084582388,1.293587914,0.296259294,-0.103194903,-0.253546277,12,-0.084515426,11,0,1,0,1
HAM_2022_Bahrain,0.777652077,-1.003465823,-0.104340633,-1.07554937,0.906642083,1.001371617,1.03704725,0.249109274,0.504857499,0.929669681,5,1.267731383,3,1,1,1,2
OCO_2022_Bahrain,0.26241244,-0.81725567,-0.104340633,-0.507780855,0.170067794,0.035976913,-0.601816523,-0.063914472,0.339552315,-0.084515426,11,0.591607979,7,1,1,0,4
HUL_2022_Bahrain,-1.836361862,1.603476315,-0.104340633,-0.37462899,-1.916735905,-1.311342292,-1.304412011,-0.864155093,-1.294165584,-1.098700532,17,-1.098700532,17,0,1,0,0
ZHO_2022_Bahrain,-0.12519903,0.858635704,0.365192215,-0.346406982,0.173642484,-0.529394055,0.083430928,-0.74497032,0.331818739,-0.76063883,15,0.084515426,10,1,1,0,5
ALB_2022_Bahrain,-0.887186457,-1.189675975,0.834725063,0.500501759,-0.388712701,-1.312262592,-0.574217374,-1.8647833,-1.219729916,-0.591607979,14,-0.422577128,13,0,1,0,1
MAG_2022_Bahrain,0.684215654,-0.258625212,0.834725063,0.300495575,1.061858887,0.225251948,1.317419564,0.167906461,0.318284981,0.591607979,7,0.929669681,5,1,1,1,2
STR_2022_Bahrain,-0.390618348,0.113795093,-1.043406328,-1.287679348,-0.59566844,-0.247935638,-0.41913644,-0.797359231,-0.608777424,-1.436762234,19,-0.253546277,12,0,1,0,7
LEC_2022_Bahrain,1.765588629,-0.444835365,1.773790758,0.133136854,2.017618118,1.560914019,1.625829103,1.687184891,1.720962301,1.605793085,1,1.605793085,1,1,1,1,0
ALO_2022_Bahrain,0.038070484,-1.375886128,-0.573873481,0.379616001,-0.257578019,0.666382415,-0.659906161,0.568681633,0.511624377,0.422577128,8,0.253546277,9,1,1,0,-1
PER_2022_Bahrain,-0.228089392,0.486215399,-0.104340633,-0.259995407,-0.404234381,0.795224416,0.842538959,0.681317792,0.58122656,1.098700532,4,-1.267731383,18,0,0,0,-14
GAS_2022_Bahrain,-0.471055606,0.858635704,-0.573873481,0.17839305,0.801909938,-0.879108056,-0.448575532,-0.405752119,-0.003625114,0.084515426,10,-1.605793085,20,0,0,0,-10
LAT_2022_Bahrain,-1.292602844,-0.631045517,0.834725063,1.051710967,-1.13782976,-1.663817194,-0.827428614,-1.538662327,-1.534873132,-1.605793085,20,-0.929669681,16,0,1,0,4
NOR_2022_Bahrain,-0.059494159,1.231056009,-1.043406328,-0.630444125,-0.81046341,0.229546681,-2.018009608,0.040863351,-1.368601252,-0.422577128,13,-0.76063883,15,0,1,0,-2
RIC_2022_Bahrain,-1.545022997,-1.562096281,-2.452004871,0.814747673,-1.351056886,-1.334349792,-0.687242462,-1.119551036,-1.858716621,-1.267731383,18,-0.591607979,14,0,1,0,4
RUS_2022_Bahrain,0.438728389,1.231056009,0.834725063,-0.789355553,0.158779299,0.337375164,0.605974822,1.024465162,0.03987625,0.253546277,9,1.098700532,4,1,1,1,5
RIC_2019_Belgium,0.312513095,0.222625352,-0.084717374,0.893781138,0.634966742,-0.11508767,0.460263444,0.766955097,0.286981187,0.084515426,10,-0.591607979,14,0,1,0,-4
BOT_2019_Belgium,1.181717019,0.826894165,-0.621260744,0.783097132,0.035051822,1.594612349,0.798492057,0.99804052,0.779080556,1.098700532,4,1.267731383,3,1,1,1,1
SAI_2019_Belgium,-0.248529221,0.675826962,0.988369366,-0.003636276,-0.326083122,-0.631614191,-0.123458526,-0.107076482,-0.070909264,-0.76063883,15,-1.436762234,19,0,0,0,-4
HAM_2019_Belgium,0.945773437,-2.043382696,-1.157804114,0.586759899,-0.380045815,1.567281443,0.387035595,0.731993834,0.882816918,1.267731383,3,1.436762234,2,1,1,1,1
VER_2019_Belgium,0.501957992,-1.590181086,-1.157804114,0.395890174,-0.589571286,1.676605067,0.600716853,0.478737855,1.029992883,0.929669681,5,-1.605793085,20,0,0,0,-15
HUL_2019_Belgium,-0.089273184,0.524759758,0.451825996,0.513755169,0.722927905,-0.849847335,0.873220473,0.015714296,0.365431811,-0.253546277,12,0.422577128,8,1,1,0,4
KVY_2019_Belgium,-0.48277909,-0.079509054,0.451825996,-0.83662757,-0.67595113,-0.252791267,-0.776927015,-0.290409935,-0.269305057,-1.436762234,19,0.591607979,7,1,1,0,12
ALB_2019_Belgium,0.188072263,-0.381643461,-1.157804114,-0.797783642,-1.409883283,0.294323782,-1.406846549,0.246799718,0.349223004,-1.098700532,17,0.929669681,5,1,1,1,12
MAG_2019_Belgium,-1.374236515,-0.381643461,-1.157804114,-0.122939093,-0.646523672,-0.954201704,-0.897624338,-0.111340051,-0.666744995,0.422577128,8,-0.253546277,12,0,1,0,-4
STR_2019_Belgium,-0.065749397,-1.741248289,-1.157804114,0.302265606,0.988788059,-0.768268721,0.291239168,0.120598086,0.063948008,-0.929669681,16,0.084515426,10,1,1,0,6
LEC_2019_Belgium,1.932361056,0.071558149,1.524912736,-0.075759814,1.825901625,1.534153072,1.627707376,1.492614487,1.041014871,1.605793085,1,1.605793085,1,1,1,1,0
PER_2019_Belgium,0.302162629,0.373692555,-0.084717374,0.115570049,1.029309496,-0.291220177,0.744771631,0.645017033,0.387475788,0.591607979,7,0.76063883,6,1,1,1,1
GAS_2019_Belgium,-0.579273663,1.280095774,-0.084717374,0.47637429,-0.673579143,-0.382737302,-0.781608796,0.103543811,-0.671931813,-0.422577128,13,0.253546277,9,1,1,0,4
GRO_2019_Belgium,-1.177483562,-0.985912273,-1.157804114,-0.361137797,-0.908183433,0.080921859,-1.180589083,0.057497269,-0.538371247,0.253546277,9,-0.422577128,13,0,1,0,-4
RAI_2019_Belgium,0.392729208,0.071558149,0.451825996,0.044781268,0.684383125,-0.131375787,0.74267083,0.182846188,-0.080634548,0.76063883,6,-0.929669681,16,0,1,0,-10
VET_2019_Belgium,1.215591272,0.675826962,1.524912736,-0.513406559,1.401909039,0.737829851,1.13071839,1.108040592,0.592355104,1.436762234,2,1.098700532,4,1,1,1,-2
NOR_2019_Belgium,-0.384543756,0.373692555,1.524912736,-0.627052648,-0.213413763,-0.621261575,-0.0145171,-0.32792934,-0.053403752,-0.084515426,11,-0.084515426,11,0,0,0,0
KUB_2019_Belgium,-2.402696476,1.733297384,-0.084717374,-1.339966165,-2.045773331,-1.864817806,-2.306788763,-2.095604914,-3.513659791,1.774823936,0,-1.098700532,17,0,1,0,-17
GIO_2019_Belgium,-0.168313107,0.373692555,0.988369366,0.566034841,0.545770164,-0.622503888,-0.168475644,0.15811749,0.086640337,-1.267731383,18,-1.267731383,18,0,0,0,0
RIC_2020_Belgium,0.181682304,-2.001062665,-1.982016334,-0.627888683,0.349818351,-0.38056882,1.323039718,0.838053231,0.361910023,1.098700532,4,1.098700532,4,1,1,1,0
RUS_2020_Belgium,-1.036500909,0.507181782,-0.578088097,-0.508909243,-0.741282177,-0.8328256,-1.094724159,-1.292193809,-1.320676618,-0.76063883,15,-1.436762234,19,0,0,0,-4
SAI_2020_Belgium,-0.377155483,0.977477615,0.123876021,-0.862825138,-0.836934633,-0.264365862,-0.440781449,0.504080435,-0.292144235,0.591607979,7,-1.605793085,20,0,0,0,-13
HAM_2020_Belgium,1.862463274,-0.90370572,-0.578088097,0.254969785,-0.306498286,2.173819016,-0.753842382,1.676106462,0.223404415,1.605793085,1,1.605793085,1,1,1,1,0
VER_2020_Belgium,1.880244973,-0.590175164,0.825840139,-0.305079745,0.770109448,1.345979858,0.83286293,0.912963017,1.434046022,1.267731383,3,1.267731383,3,1,1,1,0
OCO_2020_Belgium,1.003470396,-0.276644608,0.123876021,1.235597396,2.153136296,-0.257156634,1.734747453,1.317163738,0.95953607,0.76063883,6,0.929669681,5,1,1,1,1
KVY_2020_Belgium,-0.47202769,1.761304005,1.527804257,-0.330166983,0.140708002,-1.050660324,0.866492523,-0.333972796,0.088746186,-0.084515426,11,-0.084515426,11,0,1,0,0
ALB_2020_Belgium,0.097287621,0.193651226,1.527804257,0.693687915,-1.079792491,0.491258839,0.198486529,0.933251084,0.487591037,0.929669681,5,0.76063883,6,1,1,1,-1
STR_2020_Belgium,0.147760292,0.507181782,-1.280052215,0.281400254,0.748163209,-0.298701331,0.272165909,0.532171605,1.0185292,0.253546277,9,0.253546277,9,1,1,0,0
LEC_2020_Belgium,-0.878654128,-1.217236276,0.123876021,-0.173169293,-0.391902264,-0.643888876,-1.049375161,-1.276587604,-0.204937001,-0.422577128,13,-0.591607979,14,0,1,0,-1
PER_2020_Belgium,0.544976107,0.507181782,-0.578088097,0.254328618,1.107170479,0.318359592,0.83714306,0.299639144,0.99929231,0.422577128,8,0.084515426,10,1,1,0,-2
GAS_2020_Belgium,0.458310838,0.507181782,0.825840139,-0.02652284,1.083567925,-0.217078223,0.623136563,-0.279351077,0.967230826,-0.253546277,12,0.422577128,8,1,1,0,4
RAI_2020_Belgium,-0.473778503,-0.11987933,0.123876021,0.516538151,0.343607153,-0.418447806,-1.448853953,-0.884871847,-2.412049507,-0.929669681,16,-0.253546277,12,0,1,0,4
LAT_2020_Belgium,-0.846510286,0.350416504,-0.578088097,0.479218336,-0.455567048,-0.747139665,-0.954091318,-0.68979428,-1.302722187,-1.436762234,19,-0.929669681,16,0,1,0,3
VET_2020_Belgium,-1.583356565,-1.530766832,-0.578088097,-0.565623756,-1.718510729,-1.397191961,-0.287104399,-1.702637012,-0.462711326,-0.591607979,14,-0.422577128,13,0,1,0,1
NOR_2020_Belgium,0.64838353,1.291008171,1.527804257,-0.234018098,0.140708002,0.243059829,0.724331064,1.073706933,0.506827927,0.084515426,10,0.591607979,7,1,1,0,3
BOT_2020_Belgium,-1.156595772,0.036885948,-0.578088097,-0.081536675,-1.306501234,1.935547967,-1.383632929,0.8052802,1.044178386,1.436762234,2,1.436762234,2,1,1,1,0
VER_2022_Belgium,1.07515994,0.193179899,0.226312087,1.297116315,0.938033014,1.455456687,1.600248153,1.404297897,0.890956507,-0.591607979,14,1.605793085,1,1,1,1,13
SAI_2022_Belgium,0.201785739,0.72813962,0.226312087,0.457873463,-0.184279832,1.240629417,0.303203119,0.752746024,0.719694955,1.605793085,1,1.267731383,3,1,1,1,-2
MSC_2022_Belgium,-2.803060106,-0.609259682,0.226312087,-0.744035907,-3.09000686,-2.77482704,-2.75622377,-3.438565012,-0.899043858,-1.436762234,19,-1.098700532,17,0,1,0,2
HAM_2022_Belgium,-0.264912816,-0.341779822,-0.588411426,-0.419640621,-0.561849501,0.320987357,-0.665993989,-0.209311039,0.393029403,1.098700532,4,-1.605793085,20,0,0,0,-16
OCO_2022_Belgium,-0.807544828,0.72813962,-1.40313494,1.123054987,0.585913688,-0.769191285,-0.142440247,-0.038278673,0.10632488,-0.929669681,16,0.591607979,7,1,1,0,9
ZHO_2022_Belgium,-0.48023706,1.530579202,1.855759114,-0.708255989,0.907789637,-0.322657461,0.130378912,-0.535086976,0.335942219,-1.267731383,18,-0.591607979,14,0,1,0,4
ALB_2022_Belgium,-0.417013231,0.193179899,-0.588411426,-0.5602396,-0.704182397,-0.519140714,-0.597360236,-0.277520376,0.146285909,0.76063883,6,0.084515426,10,1,1,0,-4
TSU_2022_Belgium,-0.279441811,0.193179899,-2.217858453,-0.111245489,0.826132517,-0.005961612,0.531952765,-0.480112287,0.421255844,1.774823936,0,-0.422577128,13,0,1,0,-13
MAG_2022_Belgium,0.520106935,-1.411699264,0.226312087,-0.08110921,0.164558628,0.497452614,0.085877672,-0.426155647,0.005788006,-0.253546277,12,-0.929669681,16,0,1,0,-4
STR_2022_Belgium,0.269822298,-1.144219403,1.041035601,0.514802679,0.504229565,-0.128894424,0.407017201,-0.072892366,0.236991101,0.253546277,9,-0.084515426,11,0,1,0,-2
LEC_2022_Belgium,1.220903919,0.72813962,0.226312087,0.003639325,0.347027009,1.205754861,1.054277743,0.451403282,0.497372089,-0.76063883,15,0.76063883,6,1,1,1,9
ALO_2022_Belgium,-0.000757529,1.530579202,1.041035601,-1.09300856,-0.070799654,-0.130638151,-0.460756937,0.511468221,0.256020162,1.267731383,3,0.929669681,5,1,1,1,-2
PER_2022_Belgium,1.757568665,-1.411699264,-1.40313494,0.519761812,1.467292125,1.113337286,1.349181468,1.54377072,0.462485477,1.436762234,2,1.436762234,2,1,1,1,0
LAT_2022_Belgium,-0.576151127,-0.609259682,0.226312087,-0.410021755,-0.082680985,-0.97885712,-0.796176711,-0.252069131,-0.351641195,-0.084515426,11,-1.267731383,18,0,1,0,-7
VET_2022_Belgium,0.100355194,-0.876739543,1.041035601,-0.474832651,0.294731169,-0.358194634,0.509635727,0.404572991,-0.04876197,0.084515426,10,0.422577128,8,1,1,0,2
NOR_2022_Belgium,0.510912805,-1.144219403,0.226312087,0.317955751,-1.005104006,-0.173359484,0.718193769,0.609201002,0.34862826,-1.098700532,17,-0.253546277,12,0,1,0,5
RIC_2022_Belgium,-0.793121233,0.193179899,-0.588411426,-0.592174817,0.111065654,-0.299431006,-0.416919896,-0.084090914,0.074292627,0.591607979,7,-0.76063883,15,0,1,0,-8
RUS_2022_Belgium,0.765624246,1.530579202,0.226312087,0.960360267,-0.447869771,0.62753471,-0.854094743,0.501287723,0.167535027,0.929669681,5,1.098700532,4,1,1,1,1
RIC_2019_Britain,-0.653547998,-0.912748173,-0.527276849,-0.079522467,-0.760581968,-0.806121824,-0.090899373,-0.481084479,,0.084515426,10,-1.267731383,18,0,0,0,-8
BOT_2019_Britain,0.633735618,1.071486986,-0.136701405,-1.386794525,0.449336501,0.961462193,0.676491271,0.816888483,0.943250901,1.098700532,4,1.436762234,2,1,1,1,2
RUS_2019_Britain,-1.680583193,0.674639954,0.644449482,0.538313538,-0.904934716,-1.337094003,-1.910681316,-1.542788156,-1.924457642,-1.436762234,19,-0.76063883,15,0,1,0,4
SAI_2019_Britain,-0.068209282,1.071486986,1.035024925,-0.028370623,-0.011490369,0.321465281,-0.04382149,0.178458715,0.484586887,0.591607979,7,-1.436762234,19,0,0,0,-12
HAM_2019_Britain,0.963156149,0.013228234,-0.527276849,-0.060033546,0.865865811,0.784568636,1.07179773,0.925471814,0.837405359,1.267731383,3,1.605793085,1,1,1,1,2
VER_2019_Britain,0.902855441,-0.11905411,-0.527276849,-0.485468984,0.14961171,0.963847274,0.091712154,0.64798108,0.822586983,0.929669681,5,1.098700532,4,1,1,1,1
HUL_2019_Britain,0.508295258,-0.648183486,0.644449482,0.040567595,0.686251321,0.347303666,0.975214176,0.704283547,0.423196473,-1.098700532,17,-1.098700532,17,0,0,0,0
KVY_2019_Britain,0.386056047,1.071486986,0.253874038,0.756517496,0.770659111,0.160631274,0.196212393,0.277993434,0.344870772,-0.76063883,15,-0.253546277,12,0,1,0,3
ALB_2019_Britain,-0.831422678,1.20376933,0.253874038,0.26985007,-0.578763619,0.283303974,-0.698689655,-0.088978007,0.203037746,-0.253546277,12,0.253546277,9,1,1,0,3
MAG_2019_Britain,0.515293118,0.145510578,-0.917852292,-0.619029076,0.411650516,0.452565269,0.029170344,0.371495747,0.473296696,0.76063883,6,-0.422577128,13,0,1,0,-7
STR_2019_Britain,-0.543468189,-0.515901142,-1.308427736,-0.410627317,-0.910664751,-0.618813411,-1.268057624,-0.763602219,-0.494837192,-1.267731383,18,-0.591607979,14,0,1,0,4
LEC_2019_Britain,1.192745508,-0.251336454,1.425600369,1.14596123,1.367023297,0.981735387,0.938797426,1.496539701,0.887505582,1.605793085,1,1.267731383,3,1,1,1,-2
PER_2019_Britain,-0.18032393,-0.78046583,-1.699003179,0.208598447,0.14255936,-0.501149383,0.187767931,-0.348371519,-0.327601236,-0.591607979,14,0.084515426,10,1,1,0,4
GAS_2019_Britain,0.535542244,-0.648183486,-0.917852292,-0.420081569,0.231154482,0.407089712,0.139845597,-0.059821372,0.579142237,-0.422577128,13,0.422577128,8,1,1,0,5
GRO_2019_Britain,-0.112206464,0.54235761,-0.527276849,-0.728713442,-0.106862358,-0.332921623,0.630838388,0.303128465,-2.295622674,-0.084515426,11,-1.605793085,20,0,0,0,-9
RAI_2019_Britain,-0.140867912,-2.103289269,-0.136701405,-0.357634868,0.123716367,-0.01999891,-0.679372944,-0.968704066,0.263016886,0.422577128,8,0.591607979,7,1,1,0,1
VET_2019_Britain,1.149120552,0.410075266,2.597326699,1.652721105,1.396114233,0.981417376,1.594615593,1.531728743,0.600311346,1.436762234,2,0.929669681,5,1,1,1,-3
NOR_2019_Britain,0.438763331,0.277792922,0.644449482,0.656448023,0.116774212,0.534930089,-0.020388103,0.354403926,0.360394785,0.253546277,9,0.76063883,6,1,1,1,3
KUB_2019_Britain,-2.940570194,1.468334018,0.253874038,-0.396526493,-3.200253636,-3.210840655,-2.433710291,-2.5763406,-1.970324043,-1.605793085,20,-0.929669681,16,0,1,0,4
GIO_2019_Britain,-0.074363427,-1.971006925,-0.527276849,-0.296174594,-0.237165506,-0.353380323,0.613157793,-0.778683237,-0.209759866,-0.929669681,16,-0.084515426,11,0,1,0,5
RIC_2020_Britain,0.344774709,-0.924342984,-0.925589898,0.657030915,-0.841722692,0.46450086,1.376345736,0.442223802,0.018107606,0.76063883,6,0.591607979,7,1,1,0,-1
